Name	Set	ImageFile
Jane	Alpha	19.png
Roxy	Alpha	61.png
Jake	Alpha	10.png
Dirk	Alpha	5.png
John	Beta	43.png
Rose	Beta	2.png
Jade	Beta	54.png
Dave	Beta	6.png
Aradia	Alternia	14.png
Tavros	Alternia	59.png
Sollux	Alternia	36.png
Karkat	Alternia	20.png
Nepeta	Alternia	27.png
Kanaya	Alternia	44.png
Terezi	Alternia	7.png
Vriska	Alternia	41.png
Equius	Alternia	58.png
Gamzee	Alternia	40.png
Eridan	Alternia	62.png
Feferi	Alternia	60.png
Damara	Beforus	28.png
Rufioh	Beforus	56.png
Mituna	Beforus	64.png
Kankri	Beforus	47.png
Meulin	Beforus	53.png
Porrim	Beforus	55.png
Latula	Beforus	4.png
Aranea	Beforus	15.png
Horuss	Beforus	17.png
Kurloz	Beforus	46.png
Cronus	Beforus	37.png
Meenah	Beforus	8.png
Nannasprite	Sprite	13.png
Jaspersprite	Sprite	16.png
Davesprite	Sprite	24.png
Fefetasprite	Sprite	34.png
Jasprosesprite^2	Sprite	11.png
Arquiusprite	Sprite	38.png
Erisolsprite	Sprite	32.png
Davepetasprite^2	Sprite	29.png
Jadesprite	Sprite	42.png
GcaTavrossprite	Sprite	31.png
Becquerel	First Gaurdian	1.png
Gcat	First Gaurdian	3.png
Bec Noir	Carapacian	23.png
Peregrine Mendicant	Carapacian	48.png
Clubs Deuce	Carapacian	25.png
Diamonds Droog	Carapacian	30.png
Hearts Boxcars	Carapacian	65.png
Ms. Paint	Carapacian	45.png
Snowman	Carapacian	33.png
Spades Slick	Carapacian	57.png
Aimless Renegade	Carapacian	39.png
Wayward Vagabond	Carapacian	67.png
Nic Cage	Nic Cage	9.png
Dad	Dad	26.png
Andrew Hussie	Hussie	21.png
Lord English	Cherub	49.png
Caliborn	Cherub	22.png
Calliope	Cherub	63.png
Lil' Cal	Cherub	52.png
Condesce	Crocker	35.png
